Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,PerformanceRating,JobSatisfaction,PromotionGapRiskScore,PromotionGapRiskLevel,RetentionOpportunityScore,RetentionOpportunityLevel,RecommendedAction,Attrition
Sales,Manager,4,34,6,1,16,3,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,10,9,7,8,2,3,4,5,Medium,0,Low,No Immediate Action,1
Sales,Sales Executive,2,6,5,1,4,5,4,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,2,8,7,3,1,3,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,0,2,3,3,3,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,1,3,2,3,3,2,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,6,5,1,4,5,4,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,5,2,1,4,2,3,1,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,10,7,0,9,1,3,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,3,1,2,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,2,0,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,8,7,1,1,3,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,3,1,2,2,3,1,2,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,4,2,1,3,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,5,3,1,4,4,3,1,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,2,1,1,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,3,4,3,3,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,15,7,4,12,2,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,5,1,3,3,3,1,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,3,2,0,2,1,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,0,2,2,4,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,8,7,3,7,2,4,2,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,1,2,1,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,24,7,14,9,4,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,0,0,0,0,2,4,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,1,0,0,0,4,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,5,2,1,4,3,4,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,4,3,0,3,3,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,1,3,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Director,3,13,9,3,7,3,3,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,0,2,3,3,1,0,Low,0,Low,No Immediate Action,1
Research & Development,Manager,4,26,14,3,0,3,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,9,7,0,5,2,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,10,7,0,7,3,4,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,5,31,15,13,8,2,3,2,5,Medium,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,2,2,2,2,0,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,4,3,0,2,4,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,1,3,3,3,1,Low,0,Low,No Immediate Action,1
Human Resources,Human Resources,1,5,2,0,4,2,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,14,13,6,8,3,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,1,0,0,0,6,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,0,0,0,0,4,4,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,9,8,7,8,3,3,2,4,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,4,3,1,2,3,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,2,1,3,3,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,9,8,7,7,3,3,4,4,Medium,0,Low,No Immediate Action,1
Sales,Sales Executive,2,9,7,7,3,3,3,4,4,Medium,0,Low,No Immediate Action,1
Research & Development,Research Director,4,4,1,1,0,3,4,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,3,9,8,0,8,3,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,8,5,1,6,3,4,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,7,7,5,2,4,2,5,Medium,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,3,2,0,2,1,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,8,7,1,7,2,3,3,3,Medium,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,0,0,0,0,6,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Manager,4,20,6,4,17,2,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,5,2,2,3,2,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,3,0,1,3,3,1,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,9,8,0,8,5,4,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,5,1,1,3,3,1,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,18,14,4,11,1,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,2,0,3,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,4,0,3,3,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,5,2,0,4,3,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,5,4,0,2,2,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,5,3,1,3,3,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,4,9,8,0,0,3,4,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,1,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,5,1,0,4,6,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,2,2,2,2,2,4,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,2,0,2,2,4,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,1,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,5,4,0,3,3,4,1,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,3,0,3,3,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,17,14,5,15,2,4,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,10,2,7,8,3,3,2,2,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,3,0,0,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,2,0,3,1,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,2,0,2,2,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,2,3,4,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,10,8,5,3,3,3,2,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,2,2,1,2,3,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,5,3,1,3,1,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,4,0,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,3,2,0,2,3,3,3,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,4,2,0,2,2,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,13,10,4,8,2,3,2,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,5,4,0,0,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,12,9,3,8,0,3,4,5,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,5,2,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,6,7,7,2,4,4,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,10,0,0,9,2,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,4,31,6,14,7,3,3,1,4,Medium,0,Low,No Immediate Action,0
Human Resources,Human Resources,2,5,4,0,4,2,3,4,2,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,4,3,0,3,4,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,1,2,4,4,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,4,3,0,3,5,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,8,7,7,1,0,3,1,6,High,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,2,0,2,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,2,1,0,0,0,2,4,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,2,2,0,2,3,3,3,0,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,2,16,8,4,11,2,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,3,2,1,2,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,3,2,0,2,3,3,3,0,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,7,7,1,0,1,3,4,3,Medium,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,2,2,2,2,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,2,2,2,4,1,2,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,1,1,0,0,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,1,0,3,3,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,0,3,6,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,0,2,1,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,6,0,0,4,3,3,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,7,7,5,2,2,3,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,10,6,0,7,2,4,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,3,26,9,1,7,3,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,0,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,9,8,0,0,2,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,2,0,1,6,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,3,15,12,5,11,3,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,0,0,2,3,4,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,1,0,0,0,2,3,2,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,1,0,0,0,2,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,0,7,2,3,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,18,13,2,17,3,3,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,11,8,3,9,6,4,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,1,0,0,0,3,3,2,0,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,1,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,2,9,7,8,5,2,3,4,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,1,0,0,2,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,8,7,6,3,2,3,1,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,16,7,3,7,6,3,4,3,Medium,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,2,5,0,1,4,3,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,14,1,11,7,2,3,3,3,Medium,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,2,9,7,0,8,5,3,2,2,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,3,1,0,2,5,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,2,1,0,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Manager,4,9,8,7,8,2,3,4,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,4,4,3,0,Low,0,Low,No Immediate Action,1
Sales,Manager,4,17,13,15,2,3,3,3,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,8,4,7,7,2,3,3,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,3,1,3,1,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,10,9,0,8,2,3,4,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,8,7,0,7,3,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,4,1,0,0,0,2,3,2,1,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,2,19,10,2,7,3,3,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,0,7,3,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,1,2,0,4,1,2,Low,0,Low,No Immediate Action,1
Sales,Manager,4,10,8,6,0,2,3,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,0,0,0,0,5,4,1,0,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,3,2,0,2,4,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,3,0,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,5,4,1,3,1,4,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,6,5,1,2,2,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,5,18,16,0,11,2,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,2,2,2,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,9,8,0,8,2,3,1,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,9,0,0,7,0,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,2,0,1,2,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,4,12,11,1,5,2,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,1,0,2,0,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,8,7,0,7,3,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,4,2,3,2,6,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,4,2,0,2,2,4,2,1,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,2,4,3,0,3,1,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,0,0,0,0,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,10,7,0,8,2,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,16,10,10,1,3,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,3,8,7,1,7,4,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,3,2,1,2,3,3,2,0,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,2,8,7,1,3,2,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,4,3,1,1,3,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,2,2,2,2,0,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,15,11,4,8,3,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,2,2,2,1,6,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,4,21,6,11,8,3,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,3,2,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,2,1,2,4,4,4,0,Low,0,Low,No Immediate Action,0
Sales,Manager,5,1,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,5,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,4,5,3,4,3,4,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,1,0,0,0,2,3,2,1,Low,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,2,8,7,6,7,3,3,2,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,5,21,16,5,10,3,4,3,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,1,0,0,0,1,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,2,2,2,2,6,3,1,1,Low,0,Low,No Immediate Action,1
Sales,Manager,5,32,14,6,9,3,3,4,4,Medium,0,Low,No Immediate Action,1
Sales,Sales Executive,4,12,11,11,11,2,3,4,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,18,7,0,13,3,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,17,13,15,14,1,3,1,5,Medium,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,3,21,6,2,8,2,3,1,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,2,2,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Manager,4,9,3,1,1,4,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,8,7,7,7,2,3,3,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,15,1,0,9,2,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Manager,3,6,4,0,4,1,3,4,2,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,6,3,0,4,3,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,15,7,6,12,2,3,2,5,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,1,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,3,2,1,2,2,3,1,1,Low,0,Low,No Immediate Action,1
Sales,Sales Representative,1,1,1,0,0,2,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,1,0,0,0,5,4,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,2,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,5,8,1,7,7,2,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,4,3,0,1,3,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,7,5,3,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,3,1,3,5,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,5,2,2,2,2,0,3,4,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,9,4,7,0,4,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,4,0,3,4,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,14,8,7,8,2,3,4,5,Medium,0,Low,No Immediate Action,0
Research & Development,Manager,4,9,7,6,2,3,3,1,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,1,0,0,0,5,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,2,2,0,2,3,3,4,0,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,1,0,1,0,6,3,1,0,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,2,16,13,1,7,2,4,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,10,0,2,7,2,3,3,2,Low,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,3,10,7,1,9,2,3,1,3,Medium,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,5,3,1,3,2,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,6,2,0,2,1,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,10,6,0,8,3,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,19,9,1,9,4,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,11,10,11,1,6,4,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,2,1,2,4,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,3,2,1,2,4,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,8,7,1,7,4,3,3,2,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,3,20,6,3,6,1,3,1,4,Medium,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,3,3,2,1,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,8,7,4,7,2,4,1,4,Medium,0,Low,No Immediate Action,1
Research & Development,Research Scientist,2,13,7,3,8,4,4,3,3,Medium,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,4,2,2,2,5,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,6,2,0,4,1,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,1,0,0,0,5,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,7,7,5,6,3,3,4,4,Medium,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,1,1,0,0,0,4,3,2,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,2,2,2,2,0,4,2,3,Medium,0,Low,No Immediate Action,1
Research & Development,Manager,4,22,6,13,7,3,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,2,3,2,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,0,0,0,0,4,3,3,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,3,2,0,2,3,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,0,0,0,0,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,4,5,4,2,1,3,4,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,15,10,4,12,2,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,8,6,4,0,4,3,2,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,8,7,2,7,2,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,7,5,1,7,1,4,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,9,7,1,7,3,3,2,2,Low,0,Low,No Immediate Action,0
Sales,Manager,4,12,9,4,9,3,3,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,1,0,0,0,2,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,8,7,0,1,1,3,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,4,18,7,11,5,4,3,4,4,Medium,0,Low,No Immediate Action,1
Research & Development,Research Director,5,20,7,4,9,2,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,2,6,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,5,4,0,3,2,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,11,9,0,9,0,4,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,2,2,2,2,4,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,3,0,4,2,3,2,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,2,0,2,3,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,4,9,8,2,3,3,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,3,2,0,2,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,7,5,1,1,2,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,10,7,1,2,2,3,4,3,Medium,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,7,6,5,0,2,3,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,1,0,2,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,0,0,0,0,0,3,3,2,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,5,2,0,3,3,3,1,0,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,1,0,0,0,4,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,2,2,5,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,2,6,2,1,3,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,2,2,2,0,3,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,6,5,1,3,3,4,3,1,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,5,4,1,4,2,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,11,8,3,10,3,3,1,3,Medium,0,Low,No Immediate Action,1
Research & Development,Research Director,3,18,7,2,13,3,3,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,4,21,9,13,14,2,3,1,5,Medium,0,Low,No Immediate Action,1
Sales,Sales Executive,2,6,4,1,5,3,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,8,0,1,7,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,4,3,1,2,2,4,2,2,Low,0,Low,No Immediate Action,0
